experiment_name	model_family	experiment_type	relative_source_dir	config_file	has_best_model	has_latest_model	checkpoint_count	has_optimizer_state	miou	accuracy	kappa	f1	precision	recall	loss	best_epoch_or_iter	metric_source	recommend_publish	notes
farseg_data_split/batch_probes_20260405_1139/bs02	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs02	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs02/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=2, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/batch_probes_20260405_1139/bs04	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs04	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs04/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=4, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/batch_probes_20260405_1139/bs06	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs06	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs06/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=6, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/batch_probes_20260405_1139/bs08	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs08	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs08/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=8, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/batch_probes_20260405_1139/bs10	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs10	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs10/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=10, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/batch_probes_20260405_1139/bs12	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs12	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs12/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=12, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/batch_probes_20260405_1139/bs14	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs14	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs14/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=14, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/batch_probes_20260405_1139/bs16	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs16	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs16/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=16, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/batch_probes_20260405_1139/bs18	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs18	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs18/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=18, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/batch_probes_20260405_1139/bs20	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs20	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs20/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=20, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/batch_probes_20260405_115054/bs22	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_115054/bs22	paddlers/farseg_data_split/output/batch_probes_20260405_115054/bs22/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=22, epochs=1; smoke/probe，不作为正式结果
